Province,Year,GDP,ID,"Energy consumption (10,000 tons of standard coal)","Coal consumption (10,000 tons)","Coke consumption (10,000 tons)","Crude oil consumption (10,000 tons)","Gasoline consumption (10,000 tons)","Kerosene consumption (10,000 tons)","Diesel consumption (10,000 tons)","Fuel oil consumption (10,000 tons)","Liquefied petroleum gas consumption (10,000 tons)",Natural gas consumption (billion cubic meters),"Carbon emissions (10,000 tons)",Carbon Emissions per GDP
Hainan,2018,4910.7,21,2170.0,1162.67,0.03,1060.85,107.58,128.16,90.04,6.01,32.48,44.27,7470.715855,0.1521313836112978
Chongqing,2018,21588.8,22,8557.0,5129.52,266.86,0.0,358.96,94.93,411.42,16.18,25.21,99.5,15402.09579,0.07134299169013562
Sichuan,2018,42902.1,23,19916.0,7495.78,1165.88,719.82,874.13,209.47,902.12,33.33,52.91,237.0,31129.39127,0.07255913176744262
Guizhou,2018,15353.2,24,10036.0,12008.04,209.54,0.0,437.87,56.68,571.07,0.4,22.33,30.82,27375.00242,0.17830160761274524
Yunnan,2018,20880.6,25,11590.0,7402.33,1064.75,1010.03,426.64,122.56,628.65,1.77,45.34,13.0,24154.14592,0.11567745141423139
Shaanxi,2018,23941.9,27,12900.0,19395.89,769.12,1864.17,298.34,77.96,400.54,28.09,33.76,105.52,49511.58753,0.2067989070625138
Gansu,2018,8104.1,28,7823.0,6819.03,476.83,1453.98,202.48,9.8,289.55,3.84,15.54,31.17,20966.04909,0.25870916067175875
Qinghai,2018,2748.0,29,4364.0,1639.64,233.12,142.51,62.08,0.02,159.36,0.18,9.09,51.25,6024.936049,0.2192480367176128
Ningxia,2018,3510.2,30,7100.0,12711.22,578.06,448.7,18.77,0.02,117.63,80.48,82.89,20.96,28548.70101,0.8133069628511196
Xinjiang,2018,12809.4,31,17694.0,21790.02,995.29,2404.54,297.83,66.3,577.68,0.48,49.47,130.85,57360.58706,0.4478007327431417
Beijing,2017,29883.0,1,7088.0,490.46,0.18,892.54,489.85,644.0,175.11,2.81,48.58,164.56,11264.39543,0.03769499524813439
Tianjin,2017,12450.6,2,7832.0,3875.61,808.7,1624.85,274.16,101.5,349.11,40.68,56.53,83.31,18880.27536,0.15164149004867236
Hebei,2017,30640.8,3,32083.0,30174.5,8700.26,1542.17,380.39,27.56,526.81,43.13,55.88,95.12,92078.21411,0.30050851841335735
Shanxi,2017,14484.3,4,19581.0,45916.08,1958.27,0.0,233.86,32.29,530.46,0.47,20.81,74.9,96965.04343,0.6694492894375289
Inner Mongolia,2017,14898.1,5,19763.0,38372.19,1669.24,452.25,357.05,42.87,439.2,3.74,54.52,52.04,82898.92207,0.5564395598767629
Liaoning,2017,21693.0,6,21365.0,17587.17,3089.27,7133.87,792.1,44.37,1032.56,304.99,232.54,62.05,72481.90432,0.3341257747660536
Jilin,2017,10922.0,7,6881.0,8270.55,476.07,1026.83,188.51,29.55,343.37,29.08,45.13,24.91,22654.03218,0.20741651876945613
Heilongjiang,2017,12313.0,8,11258.0,12891.15,214.76,1670.07,385.19,87.55,338.16,71.65,163.62,40.56,34205.055,0.2777962722325997
Shanghai,2017,32925.0,9,11382.0,4577.84,592.31,2492.77,485.18,652.3,441.49,672.44,102.57,83.23,26929.45831,0.08179030618071376
Jiangsu,2017,85869.8,10,31602.0,26620.03,4070.64,3866.06,1047.25,105.37,862.43,246.02,103.84,237.69,86199.76588,0.10038426301214165
Zhejiang,2017,52403.1,11,21030.0,14262.04,320.17,3038.65,858.97,147.81,831.97,398.32,342.6,104.93,47325.61232,0.09031071123654898
Anhui,2017,29676.2,12,13019.0,16082.22,1048.94,751.59,574.66,15.53,631.56,22.81,109.76,44.37,40886.6239,0.137775806538573
Fujian,2017,33842.4,13,12555.0,7426.08,660.1,2083.69,531.87,140.86,433.74,154.09,60.28,50.16,27377.52203,0.08089710549488216
Jiangxi,2017,20210.8,14,8972.0,7671.45,862.33,699.38,351.52,15.82,556.6,11.95,76.26,21.73,22700.37736,0.1123180545055119
Shandong,2017,63012.1,15,40098.0,42003.58,3333.6,11487.18,655.99,113.01,1320.78,4686.43,366.49,126.91,149157.3643,0.23671225732835438
Henan,2017,44824.9,16,22162.0,22976.12,1233.39,650.45,740.64,72.36,972.82,27.91,161.82,100.17,57306.91578,0.12784616536790935
